sentiment,airline,text
positive,Delta,@JetBlue Then en route to the airport the rebooked ticket was refunded.
negative,United,@united now you've lost my bags too.  At least nobody has done anything to help out.  This is absurd.
neutral,US Airways,"@USAirways Hi, can you attach my AA FF# 94LXA62 to reservation E2KVM4. Thansk!"
positive,United,"@United, will you fill it? Yes they will. Thanks! #BringYourOwn, @kleankanteen http://t.co/daaa0rqBXW"
negative,American,@AmericanAir thanks! I hope we get movies. Tv's were broke on the flight over
negative,American,@AmericanAir your staff at rsw working the sliver airlines desk is not helpful. We can not get any information about our flight.
negative,US Airways,@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.
negative,American,"@AmericanAir Great, then tell me how you will fix it? @Suntimes @WSJ @latimes @nytimes #media #filmcrew #photography #cameragear"
negative,United,@united the worst customer service in Denver.
negative,Delta,@JetBlue they tried to have us towed. Do you think I'll be flying out of your terminal again? Risk of $75 fine from corrupt police official
neutral,United,@united patiently drinking and tweeting about my experience
positive,American,"@AmericanAir I'm flying with your competitor today, starts with an U and ends with D. I will never make that mistake again. #americanforlife"
neutral,Southwest,@SouthwestAir follow for a DM please. Need to confirm a Cancelled Flighted reservation
negative,United,. @united you know your updates every 6 hours telling me you don't know where my bags are is also equally irritating. #ColtsMissingBags
neutral,Southwest,"@SouthwestAir I can easily get to the Atlanta show, I just need tickets, help?!"
neutral,United,@united Hi guys. I submitted a request for ticket/hotel reimbursement for a delayed/over night stay coming back from the Dominican. Help?
negative,American,@AmericanAir not sure why we are being made to stand in line outside for plane that isn't ready to board when I could be sitting inside
neutral,Southwest,@SouthwestAir done
neutral,Southwest,@SouthwestAir any chance they will change this to include Northeast airports?  JetBlue has.
positive,United,@united thank you for getting our daughter home when @americanair Cancelled Flightled all their flights to Nashville
neutral,Southwest,@SouthwestAir I have a flight on Sunday the 22nd to Columbus from Denver. I just got a travel alert on my southwest app. Is the rescheduling
neutral,American,@AmericanAir I'm sure all these birds will be in warmer weather soon.
positive,Southwest,@SouthwestAir you guys are so clever 😃 http://t.co/qn5odUGFqK
negative,United,"@united Thank U for the 1hr delay then boarding us onto a plane that reeks of vomit, flight attendant indicated it wasn't cleaned properly."
negative,Delta,@JetBlue why are there so many delays to north east cities?
negative,American,"@AmericanAir 4285. Apparently we’re told, staff on the ground keep promising to come and they don’t."
negative,Delta,"@JetBlue yes of course, before I left the airport. I kept looking but claim is still open."
positive,US Airways,"@USAirways your ticket agents at gate 4 in Providence airport rocked tonight, especially Kristy, sorry if that is not the correct spelling."
negative,American,"@AmericanAir bag turned up, no thanks to your useless call-centre and useless website"
neutral,United,"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?"
positive,US Airways,@USAirways Will do. I appreciate the response.
negative,American,"@AmericanAir LAX-OGG-LAX using hard earned miles and was given lousy service, faulty seats on both legs and damaged bag. Your customer care"
negative,United,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused"
neutral,United,@united thank you. We are signed up for notifications. We shall watch and wait! ❄️❄️
negative,United,@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.
positive,Southwest,@SouthwestAir #DestinationDragons @Imaginedragons I'm a HUGE FAN! I would love tix to your show!
negative,American,@AmericanAir fortunately the window seat was a no-show. Able to scoot over and create space.
negative,American,"@AmericanAir i was also told by agents my issues ""aren't their prob"" K fine. I get it. But have some compassion 4 others dealing w/this!!!"
positive,United,@united thank you
negative,Southwest,@SouthwestAir I sent you my conf number yesterday.
negative,United,"@united Disappointed,UNITED did NOT feed small CHILDREN on a 5 &amp; half hour flight (Honolulu to Los Angeles), Appalling, ESP food waspaid for"
negative,US Airways,"@USAirways please explain, I have plenty of time since I'm STRANDED!!"
positive,American,@AmericanAir yes I have. Thanks
negative,American,@AmericanAir worst experience ever. @VirginAmerica all the way!
negative,United,@united you board a 630a flight and then Cancelled Flight it because it doesn't have a pilot?  Now I miss my meeting Atlanta because someone slept in?
negative,American,@AmericanAir Has AA Flight 296 from San Antonio to Dallas been Cancelled Flighted?
negative,US Airways,"@USAirways I did, but i need to get a human being. What's the fastest way to achieve this? All I get is a computer."
negative,Southwest,"@SouthwestAir - stuck on the runway, again. Delayed on Wednesday. Not a good way to take care of your loyal customers."
negative,US Airways,@USAirways on hold for 1 hour and 14 min trying to find the luggage flight Cancelled Flightled where is luggage? http://t.co/i1SfMI7zat
negative,United,@united here we go again. 2 of 3 segments SFO--New York RT were delayed OVER 2 hrs each! Why do you suck so BAD!?!Maybe another line of bus?
negative,Delta,"@JetBlue the first place but I really didn't need the extra stress at this already terrible time. Oh by the way, I made the flight with 30"
negative,United,@united Just let the employees know that good service and a kind attitude towards customers is vital in this kind of business. Thanks
negative,United,"@United what the...? I go into the ""all airlines lounge"" w/ my Star Alliance Club Card in BCN only to be told Star Alliance isn't accepted"
negative,Delta,@JetBlue all taken care of .... Other then the dropped call and the total half hour wait #love #jetblue
negative,US Airways,@usairways I've called for 3 days and can't get thru. is there some secret method i can use that doesn't result in you hanging up on me?
negative,Southwest,@SouthwestAir is awful. They have lost my bag and aren't providing any info. This is day 3 and nothing. #WORSTAIRLINEEVER
negative,American,@AmericanAir nah u boofin u dont talk like any humans i know. Respond like u actually have a brain. And again i dont want customer relations
neutral,United,"@united Not waiving change fees with the snow storm coming tomorrow? IAD is under Winter Storm warning tomorrow already, what's up?"
negative,American,"@AmericanAir whenever I cheat on you it goes horribly wrong! I promise, I won't stray anymore. I'm talking about you @Delta!"
positive,Delta,I know you have a lot of baggage... But i want you to know i really enjoyed being inside you. @JetBlue #Jetbae
negative,United,@united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off
negative,Delta,@JetBlue they couldn't do it sun then it was supposed to be mon after 6pm then today from 11 to 3 then from 6 to 8
neutral,Southwest,@SouthwestAir any official word whether flight 3403 from BWI to Manchester is Cancelled Flightled? I've got an 8hr drive in snow if it is 😢
negative,American,@AmericanAir wasn't just a delay. Your counter wouldn't take a valid CAC card as a valid ID which is needed for a TSA precheck on pass
negative,United,"@united yep—used that twice; no case id numbers assigned; just tried it again-get screen that says, “thank you for submitting your request”"
negative,United,@united thanks for the 2hr delay and then no ground crew when we landed. At least you didn't break my http://t.co/GCWVFuopl2
neutral,United,@united I just sent to you.
negative,American,@AmericanAir I don't know who that may be. I was also working from home. Thanks for nothing.
neutral,Delta,@JetBlue are @AskAmex Amex Plat holders provided access or a credit in the Airspace Lounge in JKF?
negative,Southwest,"@SouthwestAir your website has now reverted my 1st flight to only a 5-minute delay. But it's changed, so is that reliable information?"
positive,Southwest,"@SouthwestAir Thanks for replying, I sen't my conf #! I love aviation and Southwest and all I wanted for my 18th was to fly SWA for the day!"
negative,United,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund"
negative,Southwest,@SouthwestAir u texted that my flight from Denver to SD tmrw is Cancelled Flightled? Been on hold for an hour trying to get help. Any other flights?
negative,American,"@AmericanAir why does your customer service line say ""we are experiencing high call volume"" and then spontaneously hangup on the person?"
negative,United,"@united so, not only were you Late Flight, you broke my luggage handle. You paying for a new one? http://t.co/nYVV1X3d67"
negative,American,"@AmericanAir i ordered it as i always do. But on a 9hour flight delayed for 4 hours, it was worse than ever before when you forgot my meal."
negative,United,@united was forced  to book a flight on a different date than originally planned for a higher price $1130 felt like a bait and switch tactic
negative,American,"@AmericanAir I'm trying to register since 12:00,don't want to be separated from my brother during the15hours flight!There're few places left"
neutral,American,@AmericanAir can you guys help me please?
positive,American,@AmericanAir @gerri_elliott You will!! Every chance I get! Thanks for keeping me Exec Platinum.
negative,United,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
